place,id,district,region,event_location_id
Nur Shams R.C.,1,Tulkarm,West Bank,0
Nur Shams R.C.,2,Tulkarm,West Bank,0
Kfar Dan,3,Jenin,West Bank,2
'Aqbat Jaber R.C.,4,Jericho,West Bank,3
Jenin R.C.,5,Jenin,West Bank,4
Jenin R.C.,6,Jenin,West Bank,4
Gaza City,7,Gaza,Gaza Strip,6
Jenin R.C.,8,Jenin,West Bank,4
Jenin R.C.,9,Jenin,West Bank,4
al-'Arrub R.C.,10,Hebron,West Bank,9
Argaman,11,Jericho,West Bank,10
Nur Shams R.C.,12,Tulkarm,West Bank,0
'Aqqabah,13,Tubas,West Bank,12
Beit Sira,14,Ramallah and al-Bira,West Bank,13
al-Musrarah,15,East Jerusalem,West Bank,14
a-Zababidah,16,Jenin,West Bank,15
Beit Hagai,17,Hebron,West Bank,16
Huwarah,18,Nablus,West Bank,17
Huwarah,19,Nablus,West Bank,17
Jenin,20,Jenin,West Bank,19
Balata R.C.,21,Nablus,West Bank,20
'Aqbat Jaber R.C.,22,Jericho,West Bank,3
'Aqbat Jaber R.C.,23,Jericho,West Bank,3
Tulkarm R.C.,24,Tulkarm,West Bank,23
Nablus,25,Nablus,West Bank,24
Bir al-Basha,26,Jenin,West Bank,25
Bir al-Basha,27,Jenin,West Bank,25
Bir al-Basha,28,Jenin,West Bank,25
Tel Aviv-Yafo,29,Israel,Israel,28
Tel Aviv-Yafo,30,Israel,Israel,28
Burqah,31,Ramallah and al-Bira,West Bank,30
Tulkarm,32,Tulkarm,West Bank,31
Ofra,33,Ramallah and al-Bira,West Bank,32
Ma'ale Adumim,34,al-Quds,West Bank,33
Mitzpe Eshtamoa,35,Hebron,West Bank,34
'Ein Beit al-Maa R.C.,36,Nablus,West Bank,35
Nablus,37,Nablus,West Bank,24
Nablus,38,Nablus,West Bank,24
Nablus,39,Nablus,West Bank,24
Sabastiya,40,Nablus,West Bank,39
Um Safa,41,Ramallah and al-Bira,West Bank,40
Nablus,42,Nablus,West Bank,24
Deir Nizam,43,Ramallah and al-Bira,West Bank,42
Nablus,44,Nablus,West Bank,24
Nablus,45,Nablus,West Bank,24
Um Safa,46,Ramallah and al-Bira,West Bank,40
Tel Aviv-Yafo,47,Israel,Israel,28
Jenin,48,Jenin,West Bank,19
Jenin,49,Jenin,West Bank,19
Jenin R.C.,50,Jenin,West Bank,4
Jenin R.C.,51,Jenin,West Bank,4
Jenin R.C.,52,Jenin,West Bank,4
al-Birah,53,Ramallah and al-Bira,West Bank,52
Jenin R.C.,54,Jenin,West Bank,4
Jenin R.C.,55,Jenin,West Bank,4
Jenin R.C.,56,Jenin,West Bank,4
Jenin R.C.,57,Jenin,West Bank,4
Jenin R.C.,58,Jenin,West Bank,4
Jenin R.C.,59,Jenin,West Bank,4
Jenin,60,Jenin,West Bank,19
Qalandia,61,al-Quds,West Bank,60
'Askar R.C.,62,Nablus,West Bank,61
Jenin,63,Jenin,West Bank,19
Jenin,64,Jenin,West Bank,19
Turmusaya,65,Ramallah and al-Bira,West Bank,64
Jenin,66,Jenin,West Bank,19
Eli,67,Nablus,West Bank,66
Tubas,68,Tubas,West Bank,67
Eli,69,Nablus,West Bank,66
Eli,70,Nablus,West Bank,66
Eli,71,Nablus,West Bank,66
Eli,72,Nablus,West Bank,66
Jenin R.C.,73,Jenin,West Bank,4
Jenin R.C.,74,Jenin,West Bank,4
Husan,75,Bethlehem,West Bank,74
Jenin R.C.,76,Jenin,West Bank,4
Jenin R.C.,77,Jenin,West Bank,4
Jenin R.C.,78,Jenin,West Bank,4
Jenin R.C.,79,Jenin,West Bank,4
Jenin R.C.,80,Jenin,West Bank,4
Nablus,81,Nablus,West Bank,24
Balata R.C.,82,Nablus,West Bank,20
Rantis,83,Ramallah and al-Bira,West Bank,82
a-Nabi Saleh,84,Ramallah and al-Bira,West Bank,83
Hermesh,85,Jenin,West Bank,84
Jenin,86,Jenin,West Bank,19
Tene,87,Hebron,West Bank,86
Balata R.C.,88,Nablus,West Bank,20
Balata R.C.,89,Nablus,West Bank,20
Balata R.C.,90,Nablus,West Bank,20
'Askar R.C.,91,Nablus,West Bank,61
Balata R.C.,92,Nablus,West Bank,20
Barta'ah a-Sharqiyah,93,Jenin,West Bank,92
Balata R.C.,94,Nablus,West Bank,20
Gaza City,95,Gaza,Gaza Strip,6
Gaza City,96,Gaza,Gaza Strip,6
Khan Yunis,97,Khan Yunis,Gaza Strip,96
Nur Shams R.C.,98,Tulkarm,West Bank,0
Khan Yunis,99,Khan Yunis,Gaza Strip,96
Rehovot,100,Israel,Israel,99
Bani Suheila,101,Khan Yunis,Gaza Strip,100
a-Nuseirat R.C.,102,Deir al-Balah,Gaza Strip,101
Jabalya R.C.,103,North Gaza,Gaza Strip,102
Jabalya R.C.,104,North Gaza,Gaza Strip,102
Gaza City,105,Gaza,Gaza Strip,6
Gaza City,106,Gaza,Gaza Strip,6
Khan Yunis,107,Khan Yunis,Gaza Strip,96
Qabatiyah,108,Jenin,West Bank,107
'Abasan al-Kabirah,109,Khan Yunis,Gaza Strip,108
'Abasan al-Kabirah,110,Khan Yunis,Gaza Strip,108
Shokat a-Sufi,111,Rafah,Gaza Strip,110
Shokat a-Sufi,112,Rafah,Gaza Strip,110
Qabatiyah,113,Jenin,West Bank,107
Qabatiyah,114,Jenin,West Bank,107
Gaza City,115,Gaza,Gaza Strip,6
Gaza City,116,Gaza,Gaza Strip,6
al-Qararah,117,Khan Yunis,Gaza Strip,116
al-Qararah,118,Khan Yunis,Gaza Strip,116
Gaza City,119,Gaza,Gaza Strip,6
Gaza City,120,Gaza,Gaza Strip,6
Gaza City,121,Gaza,Gaza Strip,6
Gaza City,122,Gaza,Gaza Strip,6
Gaza City,123,Gaza,Gaza Strip,6
Rafah,124,Rafah,Gaza Strip,123
Gaza City,125,Gaza,Gaza Strip,6
Rafah,126,Rafah,Gaza Strip,123
Gaza City,127,Gaza,Gaza Strip,6
Gaza City,128,Gaza,Gaza Strip,6
Gaza City,129,Gaza,Gaza Strip,6
Tulkarm R.C.,130,Tulkarm,West Bank,23
Tulkarm R.C.,131,Tulkarm,West Bank,23
Huwarah,132,Nablus,West Bank,17
Nablus,133,Nablus,West Bank,24
Nablus,134,Nablus,West Bank,24
Nablus,135,Nablus,West Bank,24
Gaza City,136,Gaza,Gaza Strip,6
'Aqbat Jaber R.C.,137,Jericho,West Bank,3
Tekoa,138,Bethlehem,West Bank,137
Ari'el,139,Nablus,West Bank,138
'Aqbat Jaber R.C.,140,Jericho,West Bank,3
Elon Moreh,141,Nablus,West Bank,140
Elon Moreh,142,Nablus,West Bank,140
'Aqbat Jaber R.C.,143,Jericho,West Bank,3
'Azzun,144,Qalqiliya,West Bank,143
Hamra,145,Jericho,West Bank,144
Hamra,146,Jericho,West Bank,144
Hamra,147,Jericho,West Bank,144
Nablus,148,Nablus,West Bank,24
Nablus,149,Nablus,West Bank,24
