type_of_injury,id,ammunition,killed_by,killing_info_id
gunfire,1,live ammunition,Israeli security forces,0.0
gunfire,2,live ammunition,Israeli security forces,0.0
gunfire,3,live ammunition,Israeli security forces,0.0
gunfire,4,live ammunition,Israeli security forces,0.0
gunfire,5,live ammunition,Israeli security forces,0.0
gunfire,6,missile,Israeli security forces,5.0
gunfire,7,live ammunition,Israeli security forces,0.0
gunfire,8,missile,Israeli security forces,5.0
gunfire,9,missile,Israeli security forces,5.0
gunfire,10,live ammunition,Israeli security forces,0.0
gunfire,11,live ammunition,Israeli security forces,0.0
gunfire,12,live ammunition,Israeli security forces,0.0
gunfire,13,live ammunition,Israeli security forces,0.0
gunfire,14,live ammunition,Israeli security forces,0.0
stabbing,15,live ammunition,Israeli security forces,14.0
gunfire,16,live ammunition,Israeli security forces,0.0
gunfire,17,live ammunition,Palestinian civilians,16.0
gunfire,18,live ammunition,Palestinian civilians,16.0
gunfire,19,live ammunition,Palestinian civilians,16.0
gunfire,20,live ammunition,Israeli security forces,0.0
gunfire,21,live ammunition,Israeli security forces,0.0
gunfire,22,live ammunition,Israeli security forces,0.0
gunfire,23,live ammunition,Israeli security forces,0.0
gunfire,24,live ammunition,Israeli security forces,0.0
gunfire,25,live ammunition,Israeli security forces,0.0
gunfire,26,live ammunition,Israeli security forces,0.0
gunfire,27,live ammunition,Israeli security forces,0.0
gunfire,28,live ammunition,Israeli security forces,0.0
gunfire,29,live ammunition,Israeli civilians,28.0
gunfire,30,live ammunition,Palestinian civilians,16.0
gunfire,31,live ammunition,Israeli civilians,28.0
gunfire,32,live ammunition,Israeli security forces,0.0
gunfire,33,live ammunition,Israeli security forces,0.0
gunfire,34,live ammunition,Israeli security forces,0.0
gunfire,35,live ammunition,Israeli security forces,0.0
gunfire,36,live ammunition,Israeli security forces,0.0
gunfire,37,live ammunition,Israeli security forces,0.0
gunfire,38,live ammunition,Israeli security forces,0.0
gunfire,39,live ammunition,Israeli security forces,0.0
gunfire,40,live ammunition,Israeli security forces,0.0
gunfire,41,,Israeli security forces,
gunfire,42,live ammunition,Israeli security forces,0.0
gunfire,43,live ammunition,Israeli security forces,0.0
gunfire,44,live ammunition,Israeli security forces,0.0
gunfire,45,live ammunition,Israeli security forces,0.0
gunfire,46,live ammunition,Israeli security forces,0.0
gunfire,47,live ammunition,Israeli civilians,28.0
gunfire,48,live ammunition,Israeli security forces,0.0
gunfire,49,live ammunition,Israeli security forces,0.0
gunfire,50,live ammunition,Israeli security forces,0.0
gunfire,51,missile,Israeli security forces,5.0
gunfire,52,live ammunition,Israeli security forces,0.0
