place,id,district,residence_id
Nur Shams R.C.,1,Tulkarm,0.0
Nur Shams R.C.,2,Tulkarm,0.0
al-Yamun,3,Jenin,2.0
'Aqbat Jaber R.C.,4,Jericho,3.0
Jenin,5,Jenin,4.0
Jenin,6,Jenin,4.0
Khan Yunis,7,Khan Yunis,6.0
Jenin R.C.,8,Jenin,7.0
Jenin R.C.,9,Jenin,7.0
al-'Arrub Camp,10,Hebron,9.0
a-Zbeidat,11,Jericho,10.0
Nur Shams R.C.,12,Tulkarm,0.0
Aqqaba,13,Tubas,12.0
Deir Ammar Camp,14,Ramallah and al-Bira,13.0
Beit Hanina,15,East Jerusalem,14.0
a-Zababida,16,Jenin,15.0
Beit Hagai,17,Hebron,16.0
Ashdod,18,Israel,17.0
Ashdod,19,Israel,17.0
Jenin,20,Jenin,4.0
Balata R.C.,21,Nablus,20.0
Jericho,22,Jericho,21.0
'Aqbat Jaber R.C.,23,Jericho,3.0
Tulkarm,24,Tulkarm,23.0
Ein Beit al-Maa R.C.,25,Nablus,24.0
Jenin R.C.,26,Jenin,7.0
Jenin R.C.,27,Jenin,7.0
Jalqamus,28,Jenin,27.0
Rummana,29,Jenin,28.0
Bat Yam,30,Israel,29.0
Burka,31,Ramallah and al-Bira,30.0
Nur Shams R.C.,32,Tulkarm,0.0
Silwad,33,Ramallah and al-Bira,32.0
al-'Eizariyah,34,al-Quds,33.0
a-Samu',35,Hebron,34.0
Ein Beit al-Maa R.C.,36,Nablus,24.0
Nablus,37,Nablus,36.0
Nablus,38,Nablus,36.0
Nablus,39,Nablus,36.0
Sabastiya,40,Nablus,39.0
Deir Dobwan,41,Ramallah and al-Bira,40.0
Nablus,42,Nablus,36.0
Shuqba,43,Ramallah and al-Bira,42.0
Nablus,44,Nablus,36.0
Nablus,45,Nablus,36.0
Arura,46,Ramallah and al-Bira,45.0
a-Samu',47,Hebron,34.0
Meithalun,48,Jenin,47.0
Fahma,49,Jenin,48.0
Jenin R.C.,50,Jenin,7.0
Jenin R.C.,51,Jenin,7.0
Jenin R.C.,52,Jenin,7.0
Ramallah,53,Ramallah and al-Bira,52.0
Jenin R.C.,54,Jenin,7.0
Jenin R.C.,55,Jenin,7.0
Jenin R.C.,56,Jenin,7.0
Jenin R.C.,57,Jenin,7.0
Jenin R.C.,58,Jenin,7.0
Jenin R.C.,59,Jenin,7.0
Jaba',60,Jenin,59.0
Kafr 'Aqab (Jerusalem),61,East Jerusalem,60.0
Askar R.C.,62,Nablus,61.0
Jenin R.C.,63,Jenin,7.0
Jenin R.C.,64,Jenin,7.0
Turmusaya,65,Ramallah and al-Bira,64.0
Jenin R.C.,66,Jenin,7.0
Ahiya,67,Ramallah and al-Bira,66.0
Urif,68,Nablus,67.0
Urif,69,Nablus,67.0
Yad Binyamin,70,Israel,69.0
Eli,71,Nablus,70.0
Eli,72,Nablus,70.0
Tubas,73,Tubas,72.0
